"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,3208,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,3458,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,3138,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,9016,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,8849,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,10527,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,11394,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,12015,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,12662,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,12493,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,13801,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,12219,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,8594,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,7843,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,7542,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,7614,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,6969,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,7616,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,7510,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,8883,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,8707,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,8330,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,8945,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,8244,,
