"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,163826,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,167918,,
"FRA","France","T-GOODS-RD-TOT","Road freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,162171,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,29107,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,30935,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,32475,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,32548,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,31029,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,30896,"B","Break"
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,32663,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,30620,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,29951,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,27850,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,30444,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,32700,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,29838,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,32180,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,22192,"B","Break"
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,21224,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,22109,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,21558,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,21931,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,21365,,
"FRA","France","T-GOODS-RD-OWN","Road freight transport on own account","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,20760,,
